winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,upperArm_dist_min,upperArm_dist_max,spine_ty_min,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel
0.000000000000000000e+00,-4.124877581493331946e-01,3.135080807140436798e-01,1.156676918927399544e+00,5.767814622541624914e-01,7.457016994744308791e-02,1.474980182813464546e+00,-4.817709403359984877e-01,-4.907221661206928598e-01,2.790693572683093371e-01,6.414929361575018828e-03,-2.233729025855421269e-01,1.328848892066779031e-01,2.968814931601833611e-03
0.000000000000000000e+00,-6.084713350068482463e-01,1.315970665605519230e+00,4.123297048250790020e+00,3.279869457139026778e+00,-4.285300042414272426e+00,8.818169461201932346e-01,-8.177881414511862790e-01,-3.209395371901546223e+00,1.889643953822803812e+00,4.249199438103624937e-02,-1.218422670323985768e+00,3.487159238855679799e+00,3.921318257649721029e-02
1.000000000000000000e+00,-1.010698916136596681e+00,3.985658573029077889e+00,1.257961498004123380e+00,1.804834697840459468e+00,-4.175758312642748216e+00,9.321471877838770626e-01,-1.221113871875428192e+00,-1.715995398787670267e-01,9.441607874879062168e-01,9.298002728055610247e-03,-1.714660132647720936e-01,2.083345598444823921e+00,1.879009676424663391e-02
0.000000000000000000e+00,-4.726383372136710448e-01,8.692655436183337470e-01,1.063323606129098930e+00,1.826872505187284945e+00,-6.910612971851854969e-01,9.986844284572923280e-01,-5.917332751462816010e-01,-5.461623780584992538e+00,2.424621914757977947e+00,6.571871412785808275e-02,-2.169723772281492824e+00,4.916239486103540779e-01,2.217789767409872326e-02
0.000000000000000000e+00,-1.010745982317396319e+00,2.898337917708788680e-01,2.785795518453383135e+00,1.267192702686622097e+00,-2.935732487344261621e+00,-7.690592012507335706e-02,-9.647995305084205997e-01,-3.691646233193931703e+00,2.674215957088789342e+00,5.304885158568934528e-02,-1.139129653960364585e+00,1.257283214349757428e+00,1.997010723591768552e-02
1.000000000000000000e+00,-5.107148774821019810e-01,4.504236006656482383e-01,8.874262709180699149e-01,2.121130415235958910e+00,-1.677390402893210286e+00,9.332055636942744314e-01,-6.137401661005296161e-01,-3.641379134599582734e-01,5.340326351462694188e-01,7.484754571718563697e-03,-8.816924474226283337e+00,1.216100317554042132e+00,8.360853993150271779e-02
0.000000000000000000e+00,-1.739000997859248221e+00,2.553764154504571060e+00,1.719647320078895092e+00,2.254147059410319454e+00,-4.556861063878805851e+00,6.220660421877078905e-01,-1.583434253049702978e+00,-1.484315632944199059e+01,2.957201818243723412e+00,1.483363178973809426e-01,-9.919513762994986550e+00,2.750053755505695641e+00,1.055797293208390053e-01
0.000000000000000000e+00,-5.370719387309477177e-01,4.232193481623738318e-01,1.625386537704550882e+00,3.138298289368243399e+00,-4.883986878885494543e-01,1.255099695128360615e+00,-5.204581479826417834e-01,-8.344134081165508476e+00,1.978688804020465541e+00,8.602352404321646218e-02,-3.061220947442760298e+00,1.819432444291345208e+00,4.067211159778420793e-02
0.000000000000000000e+00,-4.287726567066597050e-01,9.309693066491213642e-01,1.911642167203851939e+00,2.733987568467275420e+00,-2.788751073217346388e+00,1.859711586012842144e+00,-9.386611960744601912e-01,-6.128253587281581538e+00,1.094921682233134685e+00,6.019312724595596298e-02,-6.930369849383503755e+00,1.926941237549326225e+00,7.381092572444024336e-02
0.000000000000000000e+00,-6.014114078866207302e-01,1.013193924509366184e+00,1.368179750975225817e+00,2.533702427750422537e+00,-2.671382201544349577e+00,1.017267454292408724e+00,-5.461328540959395905e-01,-1.796004442603866824e+00,1.063324635965502196e+00,2.382774232141140688e-02,-8.632081560087410566e+00,3.777391426046687317e-01,7.508183918910066312e-02
0.000000000000000000e+00,-6.772798377823337213e-02,2.478552397583754008e+00,1.577510728343556767e+00,3.201417972320840466e+00,-1.223212775860964108e+00,1.265081184203053599e+00,8.170863240115042864e-03,-7.616572500282171809e+00,1.465700577432884621e+00,7.568560898095880174e-02,-1.586832599970850743e-01,4.731388193940256670e+00,4.075059544947785134e-02
0.000000000000000000e+00,-8.093497946677111754e-01,1.957106180483761726e+00,6.617281425211508639e-01,1.513762318440961430e+00,-1.545633804386469468e+00,1.818636369196110270e+00,-4.889108164742507756e-01,-2.699349774276756930e-01,9.835552909967633095e-01,1.044575223687032456e-02,-8.075325054180627404e+00,1.610929841579680499e-01,6.863681698615495264e-02
1.000000000000000000e+00,-1.728738316888221438e-01,2.190083775451263648e+00,1.169576967042954330e+00,2.718551713743942333e+00,-4.397333197301334096e+00,1.179975130855515753e+00,-4.116806411029508284e-01,-3.882843912998052982e-01,7.393757305800717772e-01,9.397167682332308383e-03,-4.415101957901714336e+00,1.208418374484518720e+00,4.686266943655194306e-02
0.000000000000000000e+00,-2.187633579702972786e-01,6.953089393759342984e-01,1.336556384856794288e+00,6.757815053720233056e-01,-1.799234254773124819e+00,9.166929842314418542e-01,-2.765072285000433894e-01,-7.701711080798059328e+00,2.493441638919890568e+00,8.495960599764958154e-02,-4.651398526720256221e+00,1.309597246653212199e+00,4.967496477811224331e-02
0.000000000000000000e+00,-1.663316325574083487e-01,1.806353203376504624e+00,3.332940828698126356e+00,2.087111657027639566e+00,-1.658603008838274606e+00,8.651323011438369903e-01,-2.314837671376407113e-01,-6.990302452923141452e+00,2.678619936807237423e+00,8.057435324775316654e-02,-3.277721148971140419e+00,3.052353579177582432e+00,5.275062273457269135e-02
