winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,chest_ty_min,chest_ty_max,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel_max,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel_max
1.000000000000000000e+00,-3.808139506590445533e-01,2.719277213339525434e-01,1.136543209043055169e+00,5.986068706453697708e-01,-3.669387138260921666e-01,3.088895297257743255e-01,-5.022442540817135814e-01,1.804747691827855771e+00,9.062675309246728261e-01,-1.458710933514003327e-01,6.540522122875269684e-01,-2.076494993029855962e-01
0.000000000000000000e+00,-7.698162750208591421e-01,7.615551243742342269e-01,1.581057705743155406e+00,1.032965399295322717e+00,-1.002380264911018948e+00,8.420908953763747151e-01,-5.835974364425614569e-01,5.680579393302798152e+00,-1.233956765359133456e+00,-2.477837199591147177e-01,6.283318870179167570e-01,2.635601789102475223e-01
1.000000000000000000e+00,-9.108133549630430537e-01,6.304375976113913982e-01,2.929439528858607478e+00,1.750060119373229472e+00,-9.273313601105944715e-01,7.479886891148225248e-01,-5.154218461191814704e+00,2.565683144122672399e+00,-3.148697795287520584e+00,-3.372001056670694830e+00,1.704266874659559061e+00,-1.266562051193418581e+00
1.000000000000000000e+00,-1.990652583124614905e+00,2.508853712804196778e+00,3.536922191676625360e+00,1.470622869342880890e+00,-1.332847711259115941e+00,1.757098106538005133e+00,-9.427934999534196558e-01,5.653819506099420078e-01,-3.513830983815087183e-01,-9.443212065660974153e-01,8.449819866114054445e-01,3.890337939465771111e-01
1.000000000000000000e+00,-7.233864407377099681e-01,4.395685743668297896e+00,1.218174005036546603e+00,2.111543315797784537e+00,-7.679797828363867929e-01,4.417259173298810460e+00,-3.952751975065220691e+00,1.863323715904895295e+01,1.137225336482615035e+01,-3.566109294101645677e+00,1.274730379405718095e+00,-1.226896849688970503e+00
0.000000000000000000e+00,-1.062015240864133458e+00,7.776144803653406434e-01,1.090111164483634321e+00,2.749512532189328784e+00,-1.039722795273092304e+00,8.305449100224649994e-01,-3.270565383421468297e+00,2.144220116096090312e+00,-1.706267808866236635e+00,-3.092003682835302136e+00,2.076934106194481267e+00,1.110908172178507236e+00
1.000000000000000000e+00,-8.387698642890115686e-01,1.210485273371223025e+00,8.446549118148574120e-01,2.545944708497414943e+00,-1.950194083617113883e+00,1.003479999477748130e+00,-5.101439969478867020e+00,6.303522219058966591e+00,5.549117506030569302e+00,-1.107391499497510257e+00,3.557129239619437389e+00,1.338597124594653742e+00
0.000000000000000000e+00,-1.181708263744690290e+00,1.763618281621907480e+00,3.135947855255875272e+00,2.838280572459068729e+00,-1.007280031804905551e+00,1.545110419562143234e+00,-5.976091399087572142e+00,1.962737138208056065e+00,-2.488365651558032354e+00,-3.699513931367051089e+00,1.431080493196464021e+00,-1.618029438322122093e+00
0.000000000000000000e+00,-5.404317522314199262e-01,7.886324182731656585e-01,1.900180603466295803e+00,1.967666996145636116e+00,-5.150717654150371860e-01,6.805805099162507421e-01,-2.633143985922100860e+00,5.179948627706794539e+00,-3.965653482402567320e+00,-6.485118998405198454e+00,2.778405778386728642e+00,-3.774218087287396717e+00
1.000000000000000000e+00,-4.415549072431300681e-01,5.584754201322486011e-01,1.380973298024424700e+00,8.772004776816585414e-01,-4.454077529435408467e-01,6.391750540357303834e-01,-3.027361802215567277e+00,1.605981488047624417e+00,1.634585219707450632e+00,-3.572439351512420869e-01,8.159822946440220548e-01,3.882770170163217793e-01
