winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,chest_ty_min,chest_ty_max,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel_max,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel_max
0.000000000000000000e+00,-6.501097036289910092e-01,1.781164230724729292e+00,1.813138742661969394e+00,1.848801751279429473e+00,-9.461330955496632944e-01,1.738091690745057871e+00,-4.630864184670033801e-01,2.166511449991806726e-01,2.323843874817391186e-01,-1.776775383379820550e-01,1.679453814058663230e+00,4.415247770621795187e-01
0.000000000000000000e+00,-9.606673122255277031e-01,1.933062509530294015e+00,2.227864638346743309e+00,2.163125023179450768e+00,-9.876258937439837959e-01,1.752311132822889972e+00,-4.932830785752165270e-01,3.007944671382107305e-01,-3.347130588309197297e-01,-4.857201982789094430e+00,1.920119079763905168e+00,-2.353193349310627625e+00
1.000000000000000000e+00,-4.746378937209603244e-01,1.944195706819602742e+00,2.652453289688336824e+00,3.077833502728970050e+00,-5.035203946525893537e-01,1.889157836715597671e+00,-4.342900203172648688e+00,2.545145594129572419e+00,-2.162741566029760421e+00,-5.452064034929503755e+00,2.030408309305778314e+00,-2.737888204572724860e+00
0.000000000000000000e+00,-9.958698510228963796e-01,1.441218587178277222e+00,2.499556766512083694e+00,1.338066699414003358e+00,-9.519744478400716803e-01,1.048962953517007080e+00,-1.566042280879469839e+00,4.543917111724455893e-01,-9.030292763428479086e-01,-8.683283356831970057e-01,1.177326422811358908e+00,-8.703199253965974158e-01
0.000000000000000000e+00,-8.211642935598858495e-01,1.000893873335094053e+00,3.165268935871495604e+00,2.053014193761894646e+00,-7.659013244108059393e-01,9.166549529297577381e-01,-3.058649337612572294e-01,9.862730844114794282e-01,2.744961397091248978e-01,-6.277162980853687735e+00,3.600430071828486511e+00,-3.241076398214009391e+00
1.000000000000000000e+00,-5.627118512242453852e-01,3.513706082572864098e+00,1.632486431495306034e+00,2.770850965702970292e+00,-7.569747508402512315e-01,3.597753381660599103e+00,-8.547930673269137358e-01,5.912148147535785103e-01,-4.556119545058097686e-01,-6.852971484315387718e-01,7.246322351358152503e+00,2.294258932438616672e+00
0.000000000000000000e+00,-6.778750863424091166e-01,6.020369388690883783e-01,1.336305793341873160e+00,2.528720116283203811e+00,-5.733286681513630745e-01,3.321632094296937954e-01,-4.088930736293323598e+00,8.369575760378357154e-01,-2.304968957691864606e+00,-2.433446284685606142e-01,8.179323721437754102e+00,3.812344151946376325e+00
1.000000000000000000e+00,-4.345673982140960123e-01,2.744414817893169878e-01,5.497316617613386969e-01,1.045788196204975540e+00,-4.254300160284421595e-01,2.807154305714365528e-01,-4.456422325799328732e+00,3.116364411471339579e+00,-2.310581719793762367e+00,-2.120006721715663289e+00,4.778641217096957217e-01,-1.290303569974566855e+00
0.000000000000000000e+00,-9.098242088152377338e-01,5.581055179218541440e+00,1.224598938691917827e+00,2.717764677031489828e+00,-7.679170023138365275e-01,5.300041363099523117e+00,-5.968305211236664132e-01,5.305328382004835808e-01,-4.499991924039114521e-01,-6.883899175920261904e+00,1.352179165799750615e+00,-4.598321732163534570e+00
0.000000000000000000e+00,-5.297179224154408006e-01,5.176834477637449972e+00,2.087955070013465697e+00,3.357223680827465362e+00,-7.097502971121457671e-01,5.134838047618629275e+00,-1.955183095635655288e+00,1.434556375258524863e+00,-9.701739475447000993e-01,-1.447500778222319040e+00,4.092456055636078949e-01,-1.247589163900833409e+00
