winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,upperArm_dist_min,upperArm_dist_max,spine_ty_min,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel
0.000000000000000000e+00,-7.591674727725066241e-01,3.018762680533944587e-01,8.877466176657311525e-01,1.182280859571795295e+00,-2.459635061895333319e-01,2.444166785746881843e+00,-4.911631102265506255e-01,-2.326523048924423187e-01,5.293208743014098383e-01,6.349776493282101482e-03,-2.576548275151144818e-01,2.921194334602956744e-01,4.581452174795084403e-03
0.000000000000000000e+00,-3.619918272978740470e-01,2.985318443992279747e-01,1.752501371048674761e+00,1.811649408288378726e+00,-1.457226367543861034e+00,2.298455271028463365e+00,-7.432282547912963944e-01,-7.462538080971879983e-01,6.582361483866645546e-01,1.170408297069877070e-02,-7.191884233276665261e-01,1.115759753066995819e+00,1.529123480328885114e-02
1.000000000000000000e+00,-2.584667132758417529e-01,1.401178188559484505e+00,2.294700416330599513e+00,7.109926889672033568e-01,-1.969809461771653281e-01,1.620405807781641006e+00,-4.349567608639390293e-01,-2.117218165196147694e+00,1.276381073564097690e+00,2.827999365633537820e-02,-3.131215416143834585e+00,7.333655479738954153e-02,2.670459975784353693e-02
1.000000000000000000e+00,-5.543468604978848413e-01,5.585861200532071802e-01,1.404044361928922680e+00,2.761263070090197669e+00,-2.879799909744264141e+00,1.797766156087546863e+00,-1.374733606807364561e+00,-2.320420550742872401e-01,4.902648859394863612e-01,6.019224508448112708e-03,-1.126732844732279304e+00,1.241816543769221237e+00,1.973791157084583622e-02
1.000000000000000000e+00,-3.981217373799592618e-01,1.522540228737050416e+00,2.543606437363799877e+00,2.803046469548379438e+00,-3.550065518328572978e+00,1.342792393009306195e+00,-4.558349964844632396e-01,-4.319171141860931762e+00,4.879982530996950452e+00,7.665961394048234623e-02,-4.576898180706312047e+00,2.202462826395596540e+00,5.649467505918256971e-02
1.000000000000000000e+00,-6.484974536711275439e-01,4.812083182364414458e-01,5.102840990491213091e-01,2.281512272511148520e+00,-1.365128768634509271e+00,1.963630806783420724e+00,-5.733836966083311060e-01,-4.079465651574810114e-01,7.045197830323617350e-01,9.270552901582022193e-03,-3.051984858294346514e-01,2.809514600307574383e-01,4.884582882168267415e-03
0.000000000000000000e+00,-1.343326804366232086e+00,1.029339085919416252e+00,1.212188583064630842e+00,1.676328980847007433e+00,-2.763626135317640120e+00,1.350669093031937384e+00,-8.436420955852014236e-01,-8.212382545029901504e-01,6.632325687728090058e-01,1.237059019396499239e-02,-2.388379318754678959e-01,2.108861533986559955e+00,1.956416221551689899e-02
1.000000000000000000e+00,-7.816663228096034643e-01,7.970029881264590887e-01,1.084566431881055948e+00,2.780493987055608240e+00,-1.228999034822972902e+00,1.403147371455694570e+00,-7.680058407144824129e-01,-8.372755558955866206e+00,5.003519978559713088e+00,1.114689628126298154e-01,-3.172459425772594876e+00,1.016168780214525391e+00,3.490523504989266612e-02
1.000000000000000000e+00,-1.028342903846925838e+00,1.014390525647026253e+00,1.206600236519142610e+00,1.774413019728052987e+00,-2.556032103092539920e+00,1.479673126565541619e+00,-1.143123339830283136e+00,-4.637073156506079208e+00,1.404133058933494382e+00,5.034338512866311233e-02,-1.230216654037331603e+00,7.245615980780260035e-01,1.628981876762797959e-02
0.000000000000000000e+00,-8.539768160594500834e-01,3.564868273545646726e+00,1.945527950406629403e+00,2.673945376439295085e+00,-4.072285094495644131e+00,1.672164250356953819e+00,-1.104976552869408213e+00,-4.538297233600140923e-01,1.994111140941708493e+00,2.039950720251435673e-02,-1.185614679522736026e+01,5.991520939990636618e-01,1.037941574102201892e-01
